data,produto,valor,quantidade
2024-01-29,Memória RAM 16GB,380.0,8.0
2024-06-15,Mousepad,45.0,2.0
2024-07-09,Webcam HD,280.0,2.0
data_incorreta,SSD 1TB,550.0,6.0
2024-12-11,Notebook Dell,3500.0,1.0
2024-10-14,Mouse Logitech,invalid,6.0
2024-07-04,Memória RAM 16GB,45.00,4.0
2024-02-21,"Monitor LG 27""",1200.0,3.0
2024-04-07,Mouse Logitech,85.5,9.0
2024-11-25,Memória RAM 16GB,380.0,6.0
2024-05-23,Webcam HD,280.0,6.0
2024-04-01,Webcam HD,invalid,7.0
2024-10-11,Teclado Mecânico,450.0,7.0
2024-03-19,Mouse Logitech,85.5,6.0
2024-07-03,"Monitor LG 27""",1200.0,
2024-03-31,Teclado Mecânico,450.0,9.0
2024-01-24,Mousepad,45.0,7.0
2024-02-23,Webcam HD,280.0,6.0
2024-02-02,SSD 1TB,550.0,3.0
2024-06-10,Mousepad,45.0,10.0
2024-06-18,Memória RAM 16GB,380.0,9.0
2024-09-18,SSD 1TB,invalid,9.0
2024-02-06,Notebook Dell,3500.0,6.0
2024-10-18,SSD 1TB,550.0,2.0
2024-11-20,SSD 1TB,550.0,2.0
2024-09-14,Memória RAM 16GB,550.0,2.0
2024-01-25,Mouse Logitech,85.5,1.0
2024-04-15,Headset Gamer,320.0,3.0
2024-07-17,Headset Gamer,320.0,10.0
2024-01-07,Webcam HD,280.0,6.0
2024-11-11,Mouse Logitech,380.00,8.0
2024-01-30,Notebook Dell,3500.0,5.0
2024-09-06,Mousepad,45.0,10.0
data_incorreta,Webcam HD,280.0,10.0
2024-04-18,Mousepad,450.0,6.0
2024-03-25,Mouse Logitech,85.5,1.0
2024-01-07,Webcam HD,280.0,7.0
2024-10-01,SSD 1TB,550.0,10.0
2024-03-16,Headset Gamer,320.0,6.0
2024-11-12,Notebook Dell,3500.0,7.0
2024-02-05,Teclado Mecânico,450.0,6.0
2024-02-29,Headset Gamer,320.0,7.0
2024-08-14,Headset Gamer,320.0,9.0
2024-11-04,Headset Gamer,320.0,7.0
2024-06-09,Mousepad,45.0,2.0
2024-10-04,Headset Gamer,320.0,2.0
data_incorreta,Webcam HD,280.0,8.0
2024-02-03,Headset Gamer,320.0,6.0
2024-01-15,Memória RAM 16GB,380.0,6.0
2024-03-08,Webcam HD,280.0,9.0
2024-08-22,Mousepad,45.0,10.0
2024-04-21,Webcam HD,280.0,1.0
2024-12-12,Webcam HD,280.0,10.0
2024-09-28,Notebook Dell,3500.0,7.0
2024-12-15,Mousepad,45.0,2.0
data_incorreta,Mousepad,45.0,8.0
2024-10-27,Memória RAM 16GB,380.0,7.0
2024-08-26,Memória RAM 16GB,380.0,2.0
2024-10-20,Mouse Logitech,85.5,2.0
2024-08-08,Memória RAM 16GB,380.0,3.0
2024-04-02,SSD 1TB,550.0,8.0
2024-11-22,"Monitor LG 27""",1200.0,9.0
2024-08-21,Memória RAM 16GB,,3.0
2024-05-07,??Produto??,1200.0,9.0
2024-01-19,Mousepad,320.00,9.0
2024-04-27,Memória RAM 16GB,380.0,1.0
2024-01-10,Memória RAM 16GB,380.0,3.0
2024-06-17,SSD 1TB,550.0,2.0
2024-03-23,Mousepad,45.0,1.0
2024-08-16,Mouse Logitech,invalid,4.0
2024-11-05,Headset Gamer,320.0,10.0
2024-04-30,"Monitor LG 27""",1200.0,2.0
2024-02-28,Mousepad,45.0,10.0
2024-06-14,SSD 1TB,550.0,3.0
data_incorreta,"Monitor LG 27""",1200.0,7.0
2024-06-09,Mouse Logitech,85.5,3.0
2024-11-26,Mousepad,45.0,3.0
2024-08-30,Memória RAM 16GB,380.0,3.0
2024-03-08,Mouse Logitech,85.5,1.0
2024-10-13,Headset Gamer,320.0,3.0
2024-11-11,Memória RAM 16GB,380.0,9.0
2024-04-04,Teclado Mecânico,450.0,7.0
2024-03-01,Notebook Dell,3500.0,7.0
2024-07-14,Mouse Logitech,85.5,
2024-12-06,Mousepad,45.0,3.0
2024-04-30,Mouse Logitech,1200.0,5.0
2024-07-22,Webcam HD,280.0,9.0
2024-10-18,Webcam HD,280.0,10.0
2024-09-23,Memória RAM 16GB,380.0,5.0
2024-08-31,SSD 1TB,550.0,3.0
2024-10-25,"Monitor LG 27""",1200.0,6.0
2024-07-16,"Monitor LG 27""",1200.0,9.0
2024-10-13,SSD 1TB,,6.0
2024-03-16,Headset Gamer,320.0,7.0
2024-02-01,Webcam HD,280.0,3.0
2024-10-24,Notebook Dell,3500.0,1.0
2024-01-14,Webcam HD,280.0,10.0
2024-08-15,Webcam HD,280.0,9.0
2024-04-30,"Monitor LG 27""",1200.0,4.0
2024-11-01,Mousepad,1200.0,7.0
2024-10-10,Notebook Dell,3500.0,1.0
2024-10-10,Mousepad,45.0,5.0
2024-01-30,SSD 1TB,550.0,1.0
data_incorreta,Headset Gamer,320.0,1.0
2024-01-24,Teclado Mecânico,450.0,1.0
2024-08-29,Memória RAM 16GB,380.0,9.0
2024-10-09,Memória RAM 16GB,380.0,8.0
2024-11-24,Memória RAM 16GB,380.0,9.0
2024-10-17,Mousepad,45.0,7.0
2024-10-26,Teclado Mecânico,450.0,5.0
2024-12-19,Webcam HD,280.0,7.0
2024-05-26,"Monitor LG 27""",1200.0,4.0
2024-02-01,"Monitor LG 27""",1200.0,9.0
data_incorreta,Notebook Dell,3500.0,2.0
2024-01-16,Mouse Logitech,85.5,10.0
2024-02-20,Mouse Logitech,85.5,2.0
2024-08-18,"Monitor LG 27""",1200.0,10.0
2024-07-29,Mouse Logitech,85.5,3.0
2024-05-29,Teclado Mecânico,450.0,4.0
2024-07-17,Notebook Dell,3500.0,2.0
2024-06-03,Webcam HD,280.0,8.0
2024-04-22,Memória RAM 16GB,,9.0
2024-04-09,Mouse Logitech,85.5,8.0
2024-11-13,Notebook Dell,3500.0,8.0
2024-12-05,Webcam HD,280.0,10.0
2024-02-13,Headset Gamer,320.0,8.0
2024-02-14,SSD 1TB,550.0,4.0
2024-09-16,Mouse Logitech,85.5,5.0
2024-05-19,SSD 1TB,280.0,2.0
2024-08-22,Webcam HD,280.0,1.0
2024-08-16,"Monitor LG 27""",1200.0,8.0
2024-02-02,Memória RAM 16GB,380.0,1.0
2024-08-11,SSD 1TB,550.0,10.0
data_incorreta,Webcam HD,280.0,6.0
data_incorreta,Memória RAM 16GB,380.0,8.0
2024-09-04,Notebook Dell,380.0,3.0
2024-05-10,Webcam HD,280.0,2.0
2024-11-28,Notebook Dell,3500.0,10.0
2024-08-29,"Monitor LG 27""",1200.0,1.0
2024-05-28,Memória RAM 16GB,280.0,2.0
2024-03-05,Webcam HD,280.0,1.0
2024-12-14,Memória RAM 16GB,380.0,1.0
2024-12-03,SSD 1TB,550.0,3.0
2024-12-03,Webcam HD,280.0,5.0
2024-09-21,Headset Gamer,320.0,8.0
2024-11-08,Headset Gamer,85.50,5.0
2024-06-21,Teclado Mecânico,450.0,3.0
2024-03-11,Headset Gamer,320.0,3.0
2024-02-22,###ERRO###,320.0,5.0
2024-08-05,Notebook Dell,3500.0,2.0
2024-01-07,SSD 1TB,550.0,2.0
2024-02-21,Mousepad,45.0,10.0
2024-10-15,Mousepad,45.0,10.0
2024-01-02,Teclado Mecânico,450.0,4.0
2024-11-22,!!!,45.0,2.0
2024-02-27,Notebook Dell,3500.0,4.0
2024-03-18,Memória RAM 16GB,380.0,5.0
2024-08-27,SSD 1TB,550.0,2.0
2024-04-05,Mousepad,45.0,7.0
2024-04-03,Teclado Mecânico,invalid,10.0
2024-02-17,Headset Gamer,320.0,9.0
2024-08-13,"Monitor LG 27""",1200.0,5.0
2024-03-30,Notebook Dell,3500.0,5.0
2024-05-02,Notebook Dell,1200.00,6.0
2024-01-12,###ERRO###,1200.0,1.0
2024-12-18,"Monitor LG 27""",1200.0,1.0
2024-05-22,Memória RAM 16GB,380.0,4.0
2024-10-17,Teclado Mecânico,450.0,5.0
2024-07-20,Headset Gamer,320.0,3.0
2024-01-24,Notebook Dell,,2.0
2024-12-27,Memória RAM 16GB,380.0,5.0
2024-11-13,Mousepad,45.0,6.0
2024-05-13,Teclado Mecânico,450.0,1.0
2024-09-06,"Monitor LG 27""",,10.0
2024-07-06,Memória RAM 16GB,380.0,8.0
2024-03-30,Webcam HD,280.0,5.0
2024-01-29,Mousepad,45.0,6.0
2024-10-10,SSD 1TB,550.0,6.0
2024-05-17,Mouse Logitech,85.5,2.0
2024-02-23,SSD 1TB,,1.0
2024-01-23,Notebook Dell,3500.0,4.0
2024-07-14,Mousepad,45.0,6.0
2024-08-01,Mouse Logitech,85.5,9.0
data_incorreta,Notebook Dell,3500.0,7.0
2024-12-26,"Monitor LG 27""",1200.0,6.0
2024-04-07,Headset Gamer,320.0,4.0
2024-09-12,Webcam HD,280.0,10.0
2024-10-27,SSD 1TB,550.0,6.0
2024-01-07,Memória RAM 16GB,380.0,8.0
2024-09-06,Mouse Logitech,85.5,10.0
2024-05-14,Notebook Dell,3500.0,3.0
2024-10-24,SSD 1TB,550.0,6.0
2024-01-03,Memória RAM 16GB,380.0,2.0
2024-09-22,"Monitor LG 27""",1200.0,6.0
2024-10-04,"Monitor LG 27""",1200.0,10.0
2024-06-14,Teclado Mecânico,450.0,9.0
2024-09-11,Headset Gamer,320.0,2.0
2024-06-13,Webcam HD,280.0,8.0
2024-09-06,Notebook Dell,3500.0,4.0
2024-04-27,"Monitor LG 27""",1200.0,
2024-05-25,Headset Gamer,320.0,1.0
2024-08-28,Notebook Dell,3500.0,3.0
data_incorreta,Headset Gamer,320.0,2.0
2024-11-12,Mousepad,45.0,2.0
2024-04-01,Mouse Logitech,85.5,5.0
2024-05-21,Teclado Mecânico,450.0,7.0
2024-01-17,"Monitor LG 27""",1200.00,2.0
2024-01-12,SSD 1TB,550.0,8.0
2024-11-26,SSD 1TB,550.0,10.0
2024-07-21,Webcam HD,280.0,2.0
data_incorreta,Webcam HD,280.0,4.0
2024-01-29,Mousepad,45.0,2.0
2024-07-07,Webcam HD,280.0,6.0
2024-03-14,Memória RAM 16GB,380.0,6.0
2024-07-09,Notebook Dell,3500.0,4.0
2024-03-08,Teclado Mecânico,450.0,2.0
2024-05-12,Teclado Mecânico,450.0,10.0
2024-12-05,Notebook Dell,invalid,7.0
2024-11-15,Memória RAM 16GB,380.0,5.0
2024-12-20,Teclado Mecânico,450.0,10.0
2024-08-23,Headset Gamer,320.0,3.0
2024-02-04,Notebook Dell,3500.0,4.0
2024-04-22,SSD 1TB,550.0,6.0
2024-12-21,Headset Gamer,320.0,9.0
2024-11-28,"Monitor LG 27""",550.00,8.0
2024-09-11,Headset Gamer,320.0,9.0
2024-04-24,Headset Gamer,320.0,1.0
2024-01-26,Memória RAM 16GB,380.0,8.0
2024-06-13,Mousepad,45.0,8.0
2024-05-03,Headset Gamer,320.0,8.0
2024-06-12,Webcam HD,280.0,9.0
2024-03-19,Notebook Dell,3500.0,9.0
2024-12-15,Memória RAM 16GB,380.0,3.0
2024-03-26,Mouse Logitech,85.5,4.0
2024-05-25,Teclado Mecânico,450.0,1.0
2024-04-17,Mousepad,280.0,9.0
2024-01-24,Mouse Logitech,85.5,10.0
2024-09-29,Memória RAM 16GB,380.0,9.0
2024-01-17,Headset Gamer,320.0,3.0
2024-03-06,"Monitor LG 27""",invalid,1.0
2024-03-11,Notebook Dell,3500.0,1.0
2024-05-07,Teclado Mecânico,450.0,5.0
2024-10-05,Mousepad,invalid,2.0
2024-05-09,SSD 1TB,550.0,2.0
2024-11-22,Memória RAM 16GB,380.0,3.0
